url;file;result;test
-;-;-;freeRouter v26.2.19-cur, done by sprscc13@mrn0b0dy.
-;-;-;2026-02-20 03:02:36, took 00:33:01, with 1 workers, on 92 cases, 0 failed, 0 traces, 1 retries
-;-;-;java -Xmx256m -jar rtr.jar, null
http://sources.freertr.org/cfg/intop2-bgp01.tst;intop2-bgp01.tst;success;interop2: ebgp
http://sources.freertr.org/cfg/intop2-bgp02.tst;intop2-bgp02.tst;success;interop2: ibgp
http://sources.freertr.org/cfg/intop2-bgp03.tst;intop2-bgp03.tst;success;interop2: bgp locpref
http://sources.freertr.org/cfg/intop2-bgp04.tst;intop2-bgp04.tst;success;interop2: bgp origin
http://sources.freertr.org/cfg/intop2-bgp05.tst;intop2-bgp05.tst;success;interop2: bgp metric
http://sources.freertr.org/cfg/intop2-bgp06.tst;intop2-bgp06.tst;success;interop2: bgp community
http://sources.freertr.org/cfg/intop2-bgp07.tst;intop2-bgp07.tst;success;interop2: bgp aspath
http://sources.freertr.org/cfg/intop2-bgp08.tst;intop2-bgp08.tst;success;interop2: bgp with labels
http://sources.freertr.org/cfg/intop2-bgp09.tst;intop2-bgp09.tst;success;interop2: bgp addpath
http://sources.freertr.org/cfg/intop2-bgp10.tst;intop2-bgp10.tst;success;interop2: bgp prefix withdraw
http://sources.freertr.org/cfg/intop2-bgp11.tst;intop2-bgp11.tst;success;interop2: bgp vpnv4
http://sources.freertr.org/cfg/intop2-bgp12.tst;intop2-bgp12.tst;success;interop2: bgp authentication
http://sources.freertr.org/cfg/intop2-bgp13.tst;intop2-bgp13.tst;success;interop2: bgp vpnv6
http://sources.freertr.org/cfg/intop2-bgp14.tst;intop2-bgp14.tst;success;interop2: vpls/ldp over bgp
http://sources.freertr.org/cfg/intop2-bgp15.tst;intop2-bgp15.tst;success;interop2: mspw over bgp
http://sources.freertr.org/cfg/intop2-bgp16.tst;intop2-bgp16.tst;success;interop2: vpls/bgp over bgp
http://sources.freertr.org/cfg/intop2-bgp17.tst;intop2-bgp17.tst;success;interop2: evpn/pbb over bgp
http://sources.freertr.org/cfg/intop2-bgp18.tst;intop2-bgp18.tst;success;interop2: bgp extended community
http://sources.freertr.org/cfg/intop2-bgp19.tst;intop2-bgp19.tst;success;interop2: bgp large community
http://sources.freertr.org/cfg/intop2-bgp20.tst;intop2-bgp20.tst;success;interop2: bgp vpnv4 over srv6
http://sources.freertr.org/cfg/intop2-bgp21.tst;intop2-bgp21.tst;success;interop2: bgp vpnv6 over srv6
http://sources.freertr.org/cfg/intop2-bgp22.tst;intop2-bgp22.tst;success;interop2: bgp 6pe
http://sources.freertr.org/cfg/intop2-bgp23.tst;intop2-bgp23.tst;success;interop2: evpn/vpws over bgp
http://sources.freertr.org/cfg/intop2-bgp24.tst;intop2-bgp24.tst;success;interop2: bgp aigp
