url;file;result;test
-;-;-;freeRouter v24.3.22-cur, done by sprscc13@mrn0b0dy.
-;-;-;2024-03-22 09:50:27, took 00:21:19, with 10 workers, on 534 cases, 1 failed, 0 traces, 7 retries
-;-;-;java -Xmx256m -jar rtr.jar
http://sources.freertr.org/cfg/p4lang-acl001.tst;p4lang-acl001.tst;not applicable;p4lang: copp
http://sources.freertr.org/cfg/p4lang-acl002.tst;p4lang-acl002.tst;not applicable;p4lang: ingress access list
http://sources.freertr.org/cfg/p4lang-acl003.tst;p4lang-acl003.tst;not applicable;p4lang: egress access list
http://sources.freertr.org/cfg/p4lang-acl004.tst;p4lang-acl004.tst;not applicable;p4lang: nat
http://sources.freertr.org/cfg/p4lang-acl005.tst;p4lang-acl005.tst;not applicable;p4lang: vlan ingress access list
http://sources.freertr.org/cfg/p4lang-acl006.tst;p4lang-acl006.tst;not applicable;p4lang: vlan egress access list
http://sources.freertr.org/cfg/p4lang-acl007.tst;p4lang-acl007.tst;not applicable;p4lang: bundle ingress access list
http://sources.freertr.org/cfg/p4lang-acl008.tst;p4lang-acl008.tst;not applicable;p4lang: bundle egress access list
http://sources.freertr.org/cfg/p4lang-acl009.tst;p4lang-acl009.tst;not applicable;p4lang: bundle vlan ingress access list
http://sources.freertr.org/cfg/p4lang-acl010.tst;p4lang-acl010.tst;not applicable;p4lang: bundle vlan egress access list
http://sources.freertr.org/cfg/p4lang-acl011.tst;p4lang-acl011.tst;not applicable;p4lang: bridge ingress access list
http://sources.freertr.org/cfg/p4lang-acl012.tst;p4lang-acl012.tst;not applicable;p4lang: bridge egress access list
http://sources.freertr.org/cfg/p4lang-acl013.tst;p4lang-acl013.tst;not applicable;p4lang: vlan bridge ingress access list
http://sources.freertr.org/cfg/p4lang-acl014.tst;p4lang-acl014.tst;not applicable;p4lang: vlan bridge egress access list
http://sources.freertr.org/cfg/p4lang-acl015.tst;p4lang-acl015.tst;not applicable;p4lang: ingress pppoe access list
http://sources.freertr.org/cfg/p4lang-acl016.tst;p4lang-acl016.tst;not applicable;p4lang: egress pppoe access list
http://sources.freertr.org/cfg/p4lang-acl017.tst;p4lang-acl017.tst;not applicable;p4lang: ingress vlan pppoe access list
http://sources.freertr.org/cfg/p4lang-acl018.tst;p4lang-acl018.tst;not applicable;p4lang: egress vlan pppoe access list
http://sources.freertr.org/cfg/p4lang-acl019.tst;p4lang-acl019.tst;not applicable;p4lang: hairpin ingress access list
http://sources.freertr.org/cfg/p4lang-acl020.tst;p4lang-acl020.tst;not applicable;p4lang: hairpin egress access list
http://sources.freertr.org/cfg/p4lang-acl021.tst;p4lang-acl021.tst;not applicable;p4lang: hairpin vlan ingress access list
http://sources.freertr.org/cfg/p4lang-acl022.tst;p4lang-acl022.tst;not applicable;p4lang: hairpin vlan egress access list
http://sources.freertr.org/cfg/p4lang-acl023.tst;p4lang-acl023.tst;not applicable;p4lang: hairpin pppoe ingress access list
http://sources.freertr.org/cfg/p4lang-acl024.tst;p4lang-acl024.tst;not applicable;p4lang: hairpin pppoe egress access list
http://sources.freertr.org/cfg/p4lang-acl025.tst;p4lang-acl025.tst;not applicable;p4lang: hairpin vlan pppoe ingress access list
http://sources.freertr.org/cfg/p4lang-acl026.tst;p4lang-acl026.tst;not applicable;p4lang: hairpin vlan pppoe egress access list
http://sources.freertr.org/cfg/p4lang-acl027.tst;p4lang-acl027.tst;not applicable;p4lang: ingress gre access list
http://sources.freertr.org/cfg/p4lang-acl028.tst;p4lang-acl028.tst;not applicable;p4lang: egress gre access list
http://sources.freertr.org/cfg/p4lang-acl029.tst;p4lang-acl029.tst;not applicable;p4lang: ingress vlan gre access list
http://sources.freertr.org/cfg/p4lang-acl030.tst;p4lang-acl030.tst;not applicable;p4lang: egress vlan gre access list
http://sources.freertr.org/cfg/p4lang-acl031.tst;p4lang-acl031.tst;not applicable;p4lang: ingress l2tp access list
http://sources.freertr.org/cfg/p4lang-acl032.tst;p4lang-acl032.tst;not applicable;p4lang: egress l2tp access list
http://sources.freertr.org/cfg/p4lang-acl033.tst;p4lang-acl033.tst;not applicable;p4lang: ingress vlan l2tp access list
http://sources.freertr.org/cfg/p4lang-acl034.tst;p4lang-acl034.tst;not applicable;p4lang: egress vlan l2tp access list
http://sources.freertr.org/cfg/p4lang-acl035.tst;p4lang-acl035.tst;not applicable;p4lang: ingress ipip access list
http://sources.freertr.org/cfg/p4lang-acl036.tst;p4lang-acl036.tst;not applicable;p4lang: egress ipip access list
http://sources.freertr.org/cfg/p4lang-acl037.tst;p4lang-acl037.tst;not applicable;p4lang: ingress vlan ipip access list
http://sources.freertr.org/cfg/p4lang-acl038.tst;p4lang-acl038.tst;not applicable;p4lang: egress vlan ipip access list
http://sources.freertr.org/cfg/p4lang-acl039.tst;p4lang-acl039.tst;not applicable;p4lang: ingress common access list
http://sources.freertr.org/cfg/p4lang-acl040.tst;p4lang-acl040.tst;not applicable;p4lang: egress common access list
http://sources.freertr.org/cfg/p4lang-acl041.tst;p4lang-acl041.tst;not applicable;p4lang: ingress hybrid access list
http://sources.freertr.org/cfg/p4lang-acl042.tst;p4lang-acl042.tst;not applicable;p4lang: egress hybrid access list
http://sources.freertr.org/cfg/p4lang-acl043.tst;p4lang-acl043.tst;not applicable;p4lang: ingress hierarchical access list
http://sources.freertr.org/cfg/p4lang-acl044.tst;p4lang-acl044.tst;not applicable;p4lang: egress hierarchical access list
http://sources.freertr.org/cfg/p4lang-acl045.tst;p4lang-acl045.tst;not applicable;p4lang: ingress policer
http://sources.freertr.org/cfg/p4lang-acl046.tst;p4lang-acl046.tst;not applicable;p4lang: egress policer
http://sources.freertr.org/cfg/p4lang-acl047.tst;p4lang-acl047.tst;not applicable;p4lang: vlan ingress policer
http://sources.freertr.org/cfg/p4lang-acl048.tst;p4lang-acl048.tst;not applicable;p4lang: vlan egress policer
http://sources.freertr.org/cfg/p4lang-acl049.tst;p4lang-acl049.tst;not applicable;p4lang: transmit flowspec
http://sources.freertr.org/cfg/p4lang-acl050.tst;p4lang-acl050.tst;not applicable;p4lang: drop flowspec
http://sources.freertr.org/cfg/p4lang-acl051.tst;p4lang-acl051.tst;not applicable;p4lang: policer flowspec
http://sources.freertr.org/cfg/p4lang-acl052.tst;p4lang-acl052.tst;not applicable;p4lang: priority flowspec
http://sources.freertr.org/cfg/p4lang-acl053.tst;p4lang-acl053.tst;not applicable;p4lang: ingress amt access list
http://sources.freertr.org/cfg/p4lang-acl054.tst;p4lang-acl054.tst;not applicable;p4lang: egress amt access list
http://sources.freertr.org/cfg/p4lang-acl055.tst;p4lang-acl055.tst;not applicable;p4lang: ingress reflexive access list
http://sources.freertr.org/cfg/p4lang-acl056.tst;p4lang-acl056.tst;not applicable;p4lang: egress reflexive access list
http://sources.freertr.org/cfg/p4lang-acl057.tst;p4lang-acl057.tst;not applicable;p4lang: interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl058.tst;p4lang-acl058.tst;not applicable;p4lang: interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl059.tst;p4lang-acl059.tst;not applicable;p4lang: vlan interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl060.tst;p4lang-acl060.tst;not applicable;p4lang: vlan interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl061.tst;p4lang-acl061.tst;not applicable;p4lang: bridge interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl062.tst;p4lang-acl062.tst;not applicable;p4lang: bridge interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl063.tst;p4lang-acl063.tst;not applicable;p4lang: pppoe interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl064.tst;p4lang-acl064.tst;not applicable;p4lang: pppoe interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl065.tst;p4lang-acl065.tst;not applicable;p4lang: gre interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl066.tst;p4lang-acl066.tst;not applicable;p4lang: gre interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl067.tst;p4lang-acl067.tst;not applicable;p4lang: l2tp interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl068.tst;p4lang-acl068.tst;not applicable;p4lang: l2tp interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl069.tst;p4lang-acl069.tst;not applicable;p4lang: interface verify source
http://sources.freertr.org/cfg/p4lang-acl070.tst;p4lang-acl070.tst;not applicable;p4lang: vlan interface verify source
http://sources.freertr.org/cfg/p4lang-acl071.tst;p4lang-acl071.tst;not applicable;p4lang: bridge interface verify source
http://sources.freertr.org/cfg/p4lang-acl072.tst;p4lang-acl072.tst;not applicable;p4lang: pppoe interface verify source
http://sources.freertr.org/cfg/p4lang-acl073.tst;p4lang-acl073.tst;not applicable;p4lang: gre interface verify source
http://sources.freertr.org/cfg/p4lang-acl074.tst;p4lang-acl074.tst;not applicable;p4lang: l2tp interface verify source
http://sources.freertr.org/cfg/p4lang-acl075.tst;p4lang-acl075.tst;not applicable;p4lang: interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl076.tst;p4lang-acl076.tst;not applicable;p4lang: vlan interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl077.tst;p4lang-acl077.tst;not applicable;p4lang: bridge interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl078.tst;p4lang-acl078.tst;not applicable;p4lang: pppoe interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl079.tst;p4lang-acl079.tst;not applicable;p4lang: gre interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl080.tst;p4lang-acl080.tst;not applicable;p4lang: l2tp interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl081.tst;p4lang-acl081.tst;not applicable;p4lang: ingress gtp access list
http://sources.freertr.org/cfg/p4lang-acl082.tst;p4lang-acl082.tst;not applicable;p4lang: egress gtp access list
http://sources.freertr.org/cfg/p4lang-acl083.tst;p4lang-acl083.tst;not applicable;p4lang: ingress l2tp3 access list
http://sources.freertr.org/cfg/p4lang-acl084.tst;p4lang-acl084.tst;not applicable;p4lang: egress l2tp3 access list
http://sources.freertr.org/cfg/p4lang-acl085.tst;p4lang-acl085.tst;not applicable;p4lang: ingress vlan l2tp3 access list
http://sources.freertr.org/cfg/p4lang-acl086.tst;p4lang-acl086.tst;not applicable;p4lang: egress vlan l2tp3 access list
http://sources.freertr.org/cfg/p4lang-acl087.tst;p4lang-acl087.tst;not applicable;p4lang: l2tp3 interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl088.tst;p4lang-acl088.tst;not applicable;p4lang: l2tp3 interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl089.tst;p4lang-acl089.tst;not applicable;p4lang: l2tp3 interface verify source
http://sources.freertr.org/cfg/p4lang-acl090.tst;p4lang-acl090.tst;not applicable;p4lang: l2tp3 interface loose verify source
http://sources.freertr.org/cfg/p4lang-acl091.tst;p4lang-acl091.tst;not applicable;p4lang: ingress tmux access list
http://sources.freertr.org/cfg/p4lang-acl092.tst;p4lang-acl092.tst;not applicable;p4lang: egress tmux access list
http://sources.freertr.org/cfg/p4lang-acl093.tst;p4lang-acl093.tst;not applicable;p4lang: ingress vlan tmux access list
http://sources.freertr.org/cfg/p4lang-acl094.tst;p4lang-acl094.tst;not applicable;p4lang: egress vlan tmux access list
http://sources.freertr.org/cfg/p4lang-acl095.tst;p4lang-acl095.tst;not applicable;p4lang: tmux interface inspection with ingress drop
http://sources.freertr.org/cfg/p4lang-acl096.tst;p4lang-acl096.tst;not applicable;p4lang: tmux interface inspection with egress drop
http://sources.freertr.org/cfg/p4lang-acl097.tst;p4lang-acl097.tst;not applicable;p4lang: tmux interface verify source
http://sources.freertr.org/cfg/p4lang-acl098.tst;p4lang-acl098.tst;not applicable;p4lang: tmux interface loose verify source
http://sources.freertr.org/cfg/p4lang-crypt001.tst;p4lang-crypt001.tst;not applicable;p4lang: macsec with des
http://sources.freertr.org/cfg/p4lang-crypt002.tst;p4lang-crypt002.tst;not applicable;p4lang: macsec with 3des
http://sources.freertr.org/cfg/p4lang-crypt003.tst;p4lang-crypt003.tst;not applicable;p4lang: macsec with aes128cbc
http://sources.freertr.org/cfg/p4lang-crypt004.tst;p4lang-crypt004.tst;not applicable;p4lang: macsec with aes192cbc
http://sources.freertr.org/cfg/p4lang-crypt005.tst;p4lang-crypt005.tst;not applicable;p4lang: macsec with aes256cbc
http://sources.freertr.org/cfg/p4lang-crypt006.tst;p4lang-crypt006.tst;not applicable;p4lang: macsec with md5
http://sources.freertr.org/cfg/p4lang-crypt007.tst;p4lang-crypt007.tst;not applicable;p4lang: macsec with sha1
http://sources.freertr.org/cfg/p4lang-crypt008.tst;p4lang-crypt008.tst;not applicable;p4lang: macsec with sha256
http://sources.freertr.org/cfg/p4lang-crypt009.tst;p4lang-crypt009.tst;not applicable;p4lang: macsec with sha512
http://sources.freertr.org/cfg/p4lang-crypt010.tst;p4lang-crypt010.tst;not applicable;p4lang: macsec over ethernet
http://sources.freertr.org/cfg/p4lang-crypt011.tst;p4lang-crypt011.tst;not applicable;p4lang: macsec over vlan
http://sources.freertr.org/cfg/p4lang-crypt012.tst;p4lang-crypt012.tst;not applicable;p4lang: macsec over bundle vlan
http://sources.freertr.org/cfg/p4lang-crypt013.tst;p4lang-crypt013.tst;not applicable;p4lang: macsec over gre
http://sources.freertr.org/cfg/p4lang-crypt014.tst;p4lang-crypt014.tst;not applicable;p4lang: macsec over pppoe
http://sources.freertr.org/cfg/p4lang-crypt015.tst;p4lang-crypt015.tst;not applicable;p4lang: macsec over l2tp
http://sources.freertr.org/cfg/p4lang-crypt016.tst;p4lang-crypt016.tst;not applicable;p4lang: macsec over hairpin
http://sources.freertr.org/cfg/p4lang-crypt017.tst;p4lang-crypt017.tst;not applicable;p4lang: macsec ingress access list
http://sources.freertr.org/cfg/p4lang-crypt018.tst;p4lang-crypt018.tst;not applicable;p4lang: macsec egress access list
http://sources.freertr.org/cfg/p4lang-crypt019.tst;p4lang-crypt019.tst;not applicable;p4lang: macsec vlan ingress access list
http://sources.freertr.org/cfg/p4lang-crypt020.tst;p4lang-crypt020.tst;not applicable;p4lang: macsec vlan egress access list
http://sources.freertr.org/cfg/p4lang-crypt021.tst;p4lang-crypt021.tst;not applicable;p4lang: ipsec with des
http://sources.freertr.org/cfg/p4lang-crypt022.tst;p4lang-crypt022.tst;not applicable;p4lang: ipsec with 3des
http://sources.freertr.org/cfg/p4lang-crypt023.tst;p4lang-crypt023.tst;not applicable;p4lang: ipsec with aes128cbc
http://sources.freertr.org/cfg/p4lang-crypt024.tst;p4lang-crypt024.tst;not applicable;p4lang: ipsec with aes192cbc
http://sources.freertr.org/cfg/p4lang-crypt025.tst;p4lang-crypt025.tst;not applicable;p4lang: ipsec with aes256cbc
http://sources.freertr.org/cfg/p4lang-crypt026.tst;p4lang-crypt026.tst;not applicable;p4lang: ipsec with md5
http://sources.freertr.org/cfg/p4lang-crypt027.tst;p4lang-crypt027.tst;not applicable;p4lang: ipsec with sha1
http://sources.freertr.org/cfg/p4lang-crypt028.tst;p4lang-crypt028.tst;not applicable;p4lang: ipsec with sha256
http://sources.freertr.org/cfg/p4lang-crypt029.tst;p4lang-crypt029.tst;not applicable;p4lang: ipsec with sha512
http://sources.freertr.org/cfg/p4lang-crypt030.tst;p4lang-crypt030.tst;not applicable;p4lang: ipv4 over ipsec
http://sources.freertr.org/cfg/p4lang-crypt031.tst;p4lang-crypt031.tst;not applicable;p4lang: ipv6 over ipsec
http://sources.freertr.org/cfg/p4lang-crypt032.tst;p4lang-crypt032.tst;not applicable;p4lang: ipsec over ipv4
http://sources.freertr.org/cfg/p4lang-crypt033.tst;p4lang-crypt033.tst;not applicable;p4lang: ipsec over ipv6
http://sources.freertr.org/cfg/p4lang-crypt034.tst;p4lang-crypt034.tst;not applicable;p4lang: ipsec over ipv4 loopback
http://sources.freertr.org/cfg/p4lang-crypt035.tst;p4lang-crypt035.tst;not applicable;p4lang: ipsec over ipv6 loopback
http://sources.freertr.org/cfg/p4lang-crypt036.tst;p4lang-crypt036.tst;not applicable;p4lang: ipsec over vlan
http://sources.freertr.org/cfg/p4lang-crypt037.tst;p4lang-crypt037.tst;not applicable;p4lang: ipv4 over ipsec with ingress access list
http://sources.freertr.org/cfg/p4lang-crypt038.tst;p4lang-crypt038.tst;not applicable;p4lang: ipv4 over ipsec with egress access list
http://sources.freertr.org/cfg/p4lang-crypt039.tst;p4lang-crypt039.tst;not applicable;p4lang: ipv6 over ipsec with ingress access list
http://sources.freertr.org/cfg/p4lang-crypt040.tst;p4lang-crypt040.tst;not applicable;p4lang: ipv6 over ipsec with egress access list
http://sources.freertr.org/cfg/p4lang-crypt041.tst;p4lang-crypt041.tst;not applicable;p4lang: ipsec with ike1
http://sources.freertr.org/cfg/p4lang-crypt042.tst;p4lang-crypt042.tst;not applicable;p4lang: ipsec with ike2
http://sources.freertr.org/cfg/p4lang-crypt043.tst;p4lang-crypt043.tst;not applicable;p4lang: openvpn with des
http://sources.freertr.org/cfg/p4lang-crypt044.tst;p4lang-crypt044.tst;not applicable;p4lang: openvpn with 3des
http://sources.freertr.org/cfg/p4lang-crypt045.tst;p4lang-crypt045.tst;not applicable;p4lang: openvpn with aes128cbc
http://sources.freertr.org/cfg/p4lang-crypt046.tst;p4lang-crypt046.tst;not applicable;p4lang: openvpn with aes192cbc
http://sources.freertr.org/cfg/p4lang-crypt047.tst;p4lang-crypt047.tst;not applicable;p4lang: openvpn with aes256cbc
http://sources.freertr.org/cfg/p4lang-crypt048.tst;p4lang-crypt048.tst;not applicable;p4lang: openvpn with md5
http://sources.freertr.org/cfg/p4lang-crypt049.tst;p4lang-crypt049.tst;not applicable;p4lang: openvpn with sha1
http://sources.freertr.org/cfg/p4lang-crypt050.tst;p4lang-crypt050.tst;not applicable;p4lang: openvpn with sha256
http://sources.freertr.org/cfg/p4lang-crypt051.tst;p4lang-crypt051.tst;not applicable;p4lang: openvpn with sha512
http://sources.freertr.org/cfg/p4lang-crypt052.tst;p4lang-crypt052.tst;not applicable;p4lang: openvpn over ipv4
http://sources.freertr.org/cfg/p4lang-crypt053.tst;p4lang-crypt053.tst;not applicable;p4lang: openvpn over ipv6
http://sources.freertr.org/cfg/p4lang-crypt054.tst;p4lang-crypt054.tst;not applicable;p4lang: openvpn over ipv4 loopback
http://sources.freertr.org/cfg/p4lang-crypt055.tst;p4lang-crypt055.tst;not applicable;p4lang: openvpn over ipv6 loopback
http://sources.freertr.org/cfg/p4lang-crypt056.tst;p4lang-crypt056.tst;not applicable;p4lang: openvpn over asymmetric ports
http://sources.freertr.org/cfg/p4lang-crypt057.tst;p4lang-crypt057.tst;not applicable;p4lang: openvpn with ingress access list
http://sources.freertr.org/cfg/p4lang-crypt058.tst;p4lang-crypt058.tst;not applicable;p4lang: openvpn with egress access list
http://sources.freertr.org/cfg/p4lang-crypt059.tst;p4lang-crypt059.tst;not applicable;p4lang: wireguard over ipv4
http://sources.freertr.org/cfg/p4lang-crypt060.tst;p4lang-crypt060.tst;not applicable;p4lang: wireguard over ipv6
http://sources.freertr.org/cfg/p4lang-crypt061.tst;p4lang-crypt061.tst;not applicable;p4lang: wireguard over ipv4 loopback
http://sources.freertr.org/cfg/p4lang-crypt062.tst;p4lang-crypt062.tst;not applicable;p4lang: wireguard over ipv6 loopback
http://sources.freertr.org/cfg/p4lang-crypt063.tst;p4lang-crypt063.tst;not applicable;p4lang: wireguard over vlan
http://sources.freertr.org/cfg/p4lang-crypt064.tst;p4lang-crypt064.tst;not applicable;p4lang: wireguard over asymmetric ports
http://sources.freertr.org/cfg/p4lang-crypt065.tst;p4lang-crypt065.tst;not applicable;p4lang: wireguard with ingress access list
http://sources.freertr.org/cfg/p4lang-crypt066.tst;p4lang-crypt066.tst;not applicable;p4lang: wireguard with egress access list
http://sources.freertr.org/cfg/p4lang-crypt067.tst;p4lang-crypt067.tst;not applicable;p4lang: multicast routing over macsec
http://sources.freertr.org/cfg/p4lang-crypt068.tst;p4lang-crypt068.tst;not applicable;p4lang: multicast routing over vlan macsec
http://sources.freertr.org/cfg/p4lang-crypt069.tst;p4lang-crypt069.tst;not applicable;p4lang: replay window with openvpn
http://sources.freertr.org/cfg/p4lang-crypt070.tst;p4lang-crypt070.tst;not applicable;p4lang: replay window with wireguard
http://sources.freertr.org/cfg/p4lang-crypt071.tst;p4lang-crypt071.tst;not applicable;p4lang: openvpn with aes128cfb
http://sources.freertr.org/cfg/p4lang-crypt072.tst;p4lang-crypt072.tst;not applicable;p4lang: openvpn with aes192cfb
http://sources.freertr.org/cfg/p4lang-crypt073.tst;p4lang-crypt073.tst;not applicable;p4lang: openvpn with aes256cfb
http://sources.freertr.org/cfg/p4lang-crypt074.tst;p4lang-crypt074.tst;not applicable;p4lang: openvpn with aes128ecb
http://sources.freertr.org/cfg/p4lang-crypt075.tst;p4lang-crypt075.tst;not applicable;p4lang: openvpn with aes192ecb
http://sources.freertr.org/cfg/p4lang-crypt076.tst;p4lang-crypt076.tst;not applicable;p4lang: openvpn with aes256ecb
http://sources.freertr.org/cfg/p4lang-crypt077.tst;p4lang-crypt077.tst;not applicable;p4lang: openvpn with sha224
http://sources.freertr.org/cfg/p4lang-crypt078.tst;p4lang-crypt078.tst;not applicable;p4lang: openvpn with sha384
http://sources.freertr.org/cfg/p4lang-crypt079.tst;p4lang-crypt079.tst;not applicable;p4lang: macsec with aes128cfb
http://sources.freertr.org/cfg/p4lang-crypt080.tst;p4lang-crypt080.tst;not applicable;p4lang: macsec with aes192cfb
http://sources.freertr.org/cfg/p4lang-crypt081.tst;p4lang-crypt081.tst;not applicable;p4lang: macsec with aes256cfb
http://sources.freertr.org/cfg/p4lang-crypt082.tst;p4lang-crypt082.tst;not applicable;p4lang: macsec with aes128ecb
http://sources.freertr.org/cfg/p4lang-crypt083.tst;p4lang-crypt083.tst;not applicable;p4lang: macsec with aes192ecb
http://sources.freertr.org/cfg/p4lang-crypt084.tst;p4lang-crypt084.tst;not applicable;p4lang: macsec with aes256ecb
http://sources.freertr.org/cfg/p4lang-crypt085.tst;p4lang-crypt085.tst;not applicable;p4lang: macsec with sha224
http://sources.freertr.org/cfg/p4lang-crypt086.tst;p4lang-crypt086.tst;not applicable;p4lang: macsec with sha384
http://sources.freertr.org/cfg/p4lang-crypt087.tst;p4lang-crypt087.tst;not applicable;p4lang: openvpn with none encryption
http://sources.freertr.org/cfg/p4lang-crypt088.tst;p4lang-crypt088.tst;not applicable;p4lang: openvpn with none hash
http://sources.freertr.org/cfg/p4lang-crypt089.tst;p4lang-crypt089.tst;not applicable;p4lang: macsec with none encryption
http://sources.freertr.org/cfg/p4lang-crypt090.tst;p4lang-crypt090.tst;not applicable;p4lang: macsec with none hash
http://sources.freertr.org/cfg/p4lang-crypt091.tst;p4lang-crypt091.tst;not applicable;p4lang: macsec with aes128gcm and hash
http://sources.freertr.org/cfg/p4lang-crypt092.tst;p4lang-crypt092.tst;not applicable;p4lang: macsec with aes192gcm and hash
http://sources.freertr.org/cfg/p4lang-crypt093.tst;p4lang-crypt093.tst;not applicable;p4lang: macsec with aes256gcm and hash
http://sources.freertr.org/cfg/p4lang-crypt094.tst;p4lang-crypt094.tst;not applicable;p4lang: macsec with aes128gcm and aead
http://sources.freertr.org/cfg/p4lang-crypt095.tst;p4lang-crypt095.tst;not applicable;p4lang: macsec with aes192gcm and aead
http://sources.freertr.org/cfg/p4lang-crypt096.tst;p4lang-crypt096.tst;not applicable;p4lang: macsec with aes256gcm and aead
